iter	Passed	Remaining
802	1715	420
803	1716	418
804	1718	416
805	1719	413
806	1721	411
807	1722	409
808	1727	407
809	1728	405
810	1729	403
811	1730	400
812	1732	398
813	1733	396
814	1734	393
815	1735	391
816	1737	389
817	1738	386
818	1741	384
819	1742	382
820	1743	380
821	1745	377
822	1746	375
823	1747	373
824	1748	370
825	1750	368
826	1751	366
827	1754	364
828	1756	362
829	1757	360
830	1759	357
831	1761	355
832	1762	353
833	1763	351
834	1765	348
835	1766	346
836	1770	344
837	1772	342
838	1773	340
839	1775	338
840	1776	335
841	1778	333
842	1779	331
843	1780	329
844	1781	326
845	1785	325
846	1786	322
847	1788	320
848	1789	318
849	1790	315
850	1791	313
851	1792	311
852	1794	309
853	1795	306
854	1799	305
855	1801	303
856	1803	300
857	1804	298
858	1805	296
859	1807	294
860	1808	291
861	1810	289
862	1813	287
863	1815	285
864	1816	283
865	1818	281
866	1819	279
867	1821	276
868	1822	274
869	1823	272
870	1825	270
871	1826	268
872	1829	266
873	1830	263
874	1832	261
875	1833	259
876	1834	257
877	1836	255
878	1837	252
879	1838	250
880	1839	248
881	1843	246
882	1844	244
883	1845	242
884	1846	239
885	1848	237
886	1849	235
887	1850	233
888	1851	231
889	1853	229
890	1854	226
891	1857	224
892	1859	222
893	1860	220
894	1862	218
895	1863	216
896	1864	214
897	1866	211
898	1867	209
899	1868	207
900	1873	205
901	1874	203
902	1876	201
903	1877	199
904	1879	197
905	1880	195
906	1881	192
907	1882	190
908	1884	188
909	1887	186
910	1889	184
911	1890	182
912	1891	180
913	1893	178
914	1894	175
915	1895	173
916	1896	171
917	1898	169
918	1899	167
919	1903	165
920	1904	163
921	1905	161
922	1906	159
923	1908	156
924	1909	154
925	1910	152
926	1912	150
927	1913	148
928	1915	146
929	1917	144
930	1919	142
931	1920	140
932	1922	138
933	1923	135
934	1925	133
935	1926	131
936	1928	129
937	1931	127
938	1934	125
939	1936	123
940	1938	121
941	1939	119
942	1941	117
943	1943	115
944	1947	113
945	1949	111
946	1950	109
947	1952	107
948	1955	105
949	1957	103
950	1958	100
951	1963	99
952	1967	97
953	1969	94
954	1970	92
955	1972	90
956	1974	88
957	1979	86
958	1981	84
959	1982	82
960	1984	80
961	1986	78
962	1988	76
963	1991	74
964	1993	72
965	1995	70
966	1996	68
967	1998	66
968	2001	64
969	2004	61
970	2010	60
971	2012	57
972	2014	55
973	2016	53
974	2018	51
975	2022	49
976	2023	47
977	2024	45
978	2026	43
979	2028	41
980	2030	39
981	2032	37
982	2033	35
983	2035	33
984	2038	31
985	2041	28
986	2042	26
987	2044	24
988	2045	22
989	2047	20
990	2052	18
991	2054	16
992	2055	14
993	2057	12
994	2059	10
995	2061	8
996	2064	6
997	2066	4
998	2068	2
999	2071	0
